"HENG HUAT RESOURCES","HHGROUP","0175"
"KRONOLOGI ASIA","KRONO","0176"
"PASUKHAS","PASUKGB","0177"
"SEDANIA INNOVATOR","SEDANIA","0178"
"BIOALPHA","BIOHLDG","0179"
"KIM TECK CHEONG CONSOLIDATED","KTC","0180"
"AEMULUS","AEMULUS","0181"
"LKL","LKL","0182"
"SALUTICA","SALUTE","0183"
"HSS ENGINEERS","HSSEB","0185"
"PERAK TRANSIT","PTRANS","0186"
"BCM ALLIANCE","BCMALL","0187"
"HLT GLOBAL","HLT","0188"
"MATANG","MATANG","0189"
"EVERSAFE RUBBER","ESAFE","0190"
"CABNET","CABNET","0191"
"INTA BINA","INTA","0192"
"KEJURUTERAAN ASASTERA","KAB","0193"
"BINASAT COMMUNICATIONS","BINACOM","0195"
"QES","QES","0196"
"WEGMANS","WEGMANS","0197"
"GDB","GDB","0198"
"CLOUDARON","CLOUD","03001"
"RED IDEAS","REDIDEA","03002"
"JM EDUCATION","JMEDU","03003"
"METRO HEALTHCARE","MHCARE","03005"
"NOVA PHARMA SOLUTIONS","NPS","03006"
"POLYMER LINK","POLYMER","03007"
"DANAINFRA NASIONAL-ETBS 4%0223","DIN040000223","0400GA"
"DANAINFRA NASIONAL-ETBS4.58%1028","DIN045801028","0400GB"
"DANAINFRA NASIONAL-ETBS 4.23%0721","DIN042300721","0400GC"
"IHSAN SUKUK-ETBS 4.60%0824","IHS046000824","0401GA"
"ABF MALAYSIA BOND INDEX FUND","ABFMY1","0800EA"
"FTSE BURSA MALAYSIA KLCI ETF","FBMKLCI-EA","0820EA"
"MYETF DOW JONES ISLAMIC MARKET MALAYSIA TITANS 25","MYETFDJ","0821EA"
"CIMB FTSE ASEAN 40 MALAYSIA","CIMBA40","0822EA"
"CIMB FTSE CHINA 50","CIMBC50","0823EA"
"MYETF MSCI MALAYSIA ISLAMIC DIVIDEND","MYETFID","0824EA"
"MYETF MSCI SEA ISLAMIC DIVIDEND","METFSID","0825EA"
"MYETF THOMSON REUTERS ASIA PACIFIC EX-JAPAN ISLAMIC AGRIBUSINESS","METFAPA","0826EA"
"MYETF DOW JONES U.S. TITANS 50","METFUS50","0827EA"
"TRADEPLUS SHARIAH GOLD TRACKER","GOLDETF","0828EA"
"AMCORP PROPERTIES","AMPROP","1007"
"AMMB","AMBANK","1015"
"CIMB","CIMB","1023"
"MANULIFE","MANULFE","1058"
"RHB BANK","RHBBANK","1066"
"HONG LEONG FINANCIAL","HLFG","1082"
"GLOBAL ORIENTAL","GOB","1147"
"MALAYAN BANKING","MAYBANK","1155"
"ALLIANZ MALAYSIA","ALLIANZ","1163"
"MALAYSIA BUILDING SOCIETY","MBSB","1171"
"MAA","MAA","1198"
"SUMATEC RESOURCES","SUMATEC","1201"
"PAN MALAYSIA","PMHLDG","1287"
"PUBLIC BANK","PBBANK","1295"
"UEM EDGENTA","EDGENTA","1368"
"ADVANCE SYNERGY","ASB","1481"
"GUOCOLAND","GUOCO","1503"
"SYMPHONY LIFE","SYMLIFE","1538"
"BERJAYA SPORTS TOTO","BJTOTO","1562"
"ISKANDAR WATERFRONT CITY","IWCITY","1589"
"DRB-HICOM","DRBHCOM","1619"
"LANDMARKS","LANDMRK","1643"
"MALAYSIAN RESOURCES","MRCB","1651"
"MENANG","MENANG","1694"
"PARAMOUNT","PARAMON","1724"
"SELANGOR PROPERTIES","SPB","1783"
"BATU KAWAN","BKAWAN","1899"
"PINEHILL PACIFIC","PINEPAC","1902"
"CHIN TECK PLANTATIONS","CHINTEK","1929"
"IOI","IOICORP","1961"
"KRETAM","KRETAM","1996"
"NEGRI SEMBILAN OIL PALMS","NSOP","2038"
"TDM","TDM","2054"
"HARBOUR-LINK","HARBOUR","2062"
"UNITED PLANTATIONS","UTDPLT","2089"
"EASTLAND EQUITY","EASTLND","2097"
"COMFORT GLOVES","COMFORT","2127"
"GOPENG","GOPENG","2135"
"ECM LIBRA FINANCIAL","ECM","2143"
"KUCHAI DEVELOPMENT","KUCHAI","2186"
"MMC","MMCCORP","2194"
"PETALING TIN","PTGTIN","2208"
"IJM PLANTATIONS","IJMPLNT","2216"
"SELANGOR DREDGING","SDRED","2224"
"TALAM TRANSFORM","TALAMT","2259"
"ZELAN","ZELAN","2283"
"GENTING PLANTATIONS","GENP","2291"
"AYER","AYER","2305"
"TANCO","TANCO","2429"
"KUALA LUMPUR KEPONG","KLK","2445"
"KLUANG RUBBER COMPANY (MALAYA)","KLUANG","2453"
"ALLIANCE BANK MALAYSIA","ABMB","2488"
"RIVERVIEW RUBBER ESTATES","RVIEW","2542"
"SUNGEI BAGAN RUBBER COMPANY (MALAYA)","SBAGAN","2569"
"YTL LAND & DEVELOPMENT","YTLLAND","2577"
"UNITED MALACCA","UMCCA","2593"
"INCH KENNETH KAJANG RUBBER","INCKEN","2607"
"AJINOMOTO","AJI","2658"
"ALUMINIUM COMPANY OF MALAYSIA","ALCOM","2674"
"AMALGAMATED INDUSTRIAL STEEL","AISB","2682"
"SINO HUA-AN","HUAAN","2739"
"FCW","FCW","2755"
"BOUSTEAD","BSTEAD","2771"
"C.I.","CIHLDG","2828"
"CARLSBERG BREWERY MALAYSIA","CARLSBG","2836"
"CAHYA MATA SARAWAK","CMSB","2852"
"CHEMICAL COMPANY OF MALAYSIA","CCM","2879"
"CYCLE & CARRIAGE BINTANG","CCB","2925"
"FACB INDUSTRIES INCORPORATED","FACBIND","2984"
"OLYMPIA INDUSTRIES","OLYMPIA","3018"
"DUTCH LADY MILK INDUSTRIES","DLADY","3026"
"HAP SENG CONSOLIDATED","HAPSENG","3034"
"PETRON MALAYSIA REFINING & MARKETING","PETRONM","3042"
